town,flat_type,floor_area_sqm,flat_model,lease_commence_date,resale_price
8,2,104,5,1989,400000
4,1,64,12,1969,404000
13,4,141,1,1989,422000
13,1,74,5,1984,375000
12,2,95,9,1982,385000
12,3,120,3,1998,655000
0,2,92,9,1977,590000
7,1,75,5,1984,375000
0,2,92,9,1978,490000
10,2,92,9,1976,543000
5,2,94,10,2002,435000
15,1,65,3,1975,465000
11,2,104,5,1987,448000
20,3,114,10,2004,460000
1,2,93,9,1985,405000
24,4,145,1,1996,638888
3,2,84,11,1986,353000
20,2,90,5,2002,454000
4,2,92,9,1985,638000
8,2,90,5,2003,430000
11,1,64,11,1986,280000
25,1,74,5,1986,316988
1,1,68,9,1982,319000
9,3,123,3,1979,675000
10,2,84,11,1986,410000
18,1,56,12,1971,335000
0,1,68,9,1979,290000
23,3,125,3,1989,608000
8,2,104,5,1993,300000
22,2,105,5,1985,465000
24,3,122,3,1998,480000
22,2,104,5,1988,425000
1,2,91,9,1978,410000
24,3,122,3,1996,455000
25,2,84,11,1986,350000
13,3,110,3,2001,510000
25,3,121,3,1985,515000
24,3,121,3,1999,475000
3,2,84,11,1987,390000
24,2,100,5,1996,385000
14,1,65,3,1974,243888
22,3,109,2,2008,708000
5,3,121,3,1998,470000
12,4,147,4,1985,680000
4,1,88,12,1973,650000
4,1,72,3,1975,390000
1,1,83,9,1980,385000
19,4,131,10,2001,528000
23,2,104,5,1984,490000
16,2,106,5,1990,390000
22,3,133,5,1995,622900
15,2,82,3,1976,527000
13,3,110,10,2008,438000
10,2,100,9,1980,510000
22,2,108,5,1985,500000
2,4,144,1,1986,910000
0,2,92,9,1981,425000
24,2,88,11,1989,346000
24,4,140,1,1999,588000
25,2,84,11,1985,360000
25,1,64,11,1985,270000
4,1,67,9,1976,365000
7,2,85,5,2003,506888
18,1,56,12,1973,340000
1,1,67,9,1985,350000
0,4,153,1,1996,760000
17,3,110,10,2005,500000
19,3,110,3,2001,415000
0,1,67,9,1978,335000
24,3,111,10,2004,399000
17,3,110,10,2003,510000
11,3,121,3,1987,500000
5,4,143,4,1999,655000
25,1,67,9,1982,287000
13,2,103,5,1985,425000
11,2,91,9,1985,440000
1,2,92,9,1979,460000
8,2,104,10,1999,370000
12,2,92,9,1984,460000
22,3,122,3,1989,510000
18,1,59,3,1974,355000
19,2,91,5,2001,380000
18,3,111,3,2003,814000
13,1,73,5,1984,306000
11,2,104,5,1987,427000
10,1,60.3,12,1967,295000
13,4,130,1,2001,592000
9,1,67,9,1979,310000
10,2,92,9,1976,580000
8,3,120,3,1999,390000
24,2,92,9,1985,373000
0,1,68,9,1981,277000
5,2,93,10,2004,425000
8,2,91,9,1981,318000
7,1,68,3,1978,550000
20,3,110,3,2001,580000
10,2,91,9,1978,523000
18,1,60,3,1970,315000
24,4,146,4,1986,560000
20,2,88,7,2000,378000
22,2,103,5,1984,387000
2,2,112,5,1992,660000
9,4,161,4,1985,888888
24,1,67,9,1986,332000
17,2,92,10,2009,538000
11,1,64,11,1989,291000
24,3,113,10,2002,483000
0,1,89,9,1979,435000
14,2,92,5,2012,680000
20,2,90,10,2009,540000
11,1,74,5,1983,318888
1,3,117,12,1979,517000
9,2,104,5,1984,520000
24,2,107,10,1999,408000
13,3,127,3,1988,452000
18,2,90,5,2008,705000
3,4,144,1,1998,735000
3,2,105,5,1989,415000
13,2,94,10,2008,410000
13,3,110,3,2001,448000
24,4,142,4,1999,600000
0,1,68,9,1980,348000
19,2,90,5,2001,355000
24,2,90,7,1998,343000
1,2,92,9,1979,418000
22,4,146,4,1988,710000
25,3,132,5,1992,516000
8,4,146,4,1996,580000
18,1,65,3,1976,380000
25,3,121,3,1987,445000
8,3,121,3,1997,485000
22,3,122,3,1988,532000
13,4,156,4,1985,585000
5,2,101,5,1997,318000
16,2,106,5,1989,405000
10,3,110,3,2000,840000
20,3,111,10,2002,365000
18,1,56,12,1983,340100
22,2,105,5,1984,450000
12,2,102,5,1998,465000
11,4,139,1,1997,610000
24,4,161,1,1994,670000
10,1,63.1,12,1971,275000
14,1,66,3,1972,370000
22,1,74,5,1988,356000
17,3,110,3,2003,520000
19,2,102,10,2001,362000
13,1,59,3,1975,230000
12,1,72,5,2013,350000
10,2,93,5,2011,630000
16,3,126,3,1993,470000
14,4,141,1,1986,769000
5,2,95,10,2004,465000
0,1,68,9,1980,327000
17,1,69,10,2012,380000
9,2,90,5,2002,695000
15,1,65,3,1975,460000
11,1,67,9,1984,265000
24,1,65,3,1974,283000
16,2,84,11,1988,363000
22,3,128,3,1995,493000
17,2,91,10,2005,509000
17,3,112,10,2013,520000
4,0,34,12,1971,210000
24,1,65,3,1976,303000
23,1,57,12,1968,295000
14,2,94,9,1980,470000
1,1,68,9,1981,305000
13,4,125,1,2002,510000
4,3,136,5,1984,770000
22,1,67,9,1984,330000
22,2,104,5,1988,535000
13,1,74,5,1984,320000
11,3,117,3,1997,710000
23,1,67,3,1969,370000
2,3,121,3,1984,770000
14,1,63,12,1981,345000
1,1,65,3,1976,338000
11,1,67,9,1985,345000
16,2,103,5,1989,472000
10,1,56,12,1967,250000
23,1,67,3,1971,318000
0,1,81,9,1980,413000
4,2,91,9,1978,530000
